"Image Name","PID","Session Name","Session#","Mem Usage"
"PowerToys.AlwaysOnTop.exe","8640","Console","1","13,652 K"
"Microsoft.CmdPal.UI.exe","13400","Console","1","155,804 K"
"PowerToys.ColorPickerUI.exe","13996","Console","1","66,336 K"
"PowerToys.FancyZones.exe","8176","Console","1","27,480 K"
"SecurityHealthSystray.exe","14344","Console","1","10,488 K"
"SecurityHealthService.exe","14384","Services","0","15,472 K"
"RtkNGUI64.exe","14644","Console","1","29,128 K"
"PowerToys.KeyboardManagerEngine.exe","14676","Console","1","2,468 K"
"PowerToys.Peek.UI.exe","14768","Console","1","15,640 K"
"PowerToys.PowerLauncher.exe","14868","Console","1","98,064 K"
"PowerToys.PowerOCR.exe","14920","Console","1","21,216 K"
"steam.exe","14668","Console","1","141,956 K"
"steamwebhelper.exe","2388","Console","1","454,144 K"
"SteamService.exe","3688","Services","0","13,860 K"
"steamwebhelper.exe","8368","Console","1","17,856 K"
"RemoteServerWin.exe","1588","Console","1","17,140 K"
"steamwebhelper.exe","15244","Console","1","32,940 K"
"GoogleDriveFS.exe","9108","Console","1","17,000 K"
"crashpad_handler.exe","15460","Console","1","8,672 K"
"steamwebhelper.exe","15840","Console","1","20,728 K"
"svchost.exe","16692","Services","0","10,980 K"
"KeePass.exe","14004","Console","1","59,884 K"
"msedge.exe","18108","Console","1","641,464 K"
"steamwebhelper.exe","18316","Console","1","23,884 K"
"msedge.exe","17496","Console","1","13,856 K"
"msedge.exe","13104","Console","1","82,548 K"
"msedge.exe","17324","Console","1","26,944 K"
"msedge.exe","18744","Console","1","28,844 K"
"CompPkgSrv.exe","19100","Console","1","9,148 K"
"EarTrumpet.exe","19320","Console","1","83,728 K"
"AcrobatNotificationClient.exe","19392","Console","1","26,456 K"
"TranslucentTB.exe","13764","Console","1","51,904 K"
"PAD.Console.Host.exe","19928","Console","1","288,668 K"
"dllhost.exe","20084","Console","1","19,308 K"
"RuntimeBroker.exe","20128","Console","1","8,916 K"
"PhoneExperienceHost.exe","1280","Console","1","360,308 K"
"rundll32.exe","5020","Console","1","15,204 K"
"rundll32.exe","20552","Console","1","4,496 K"
"rundll32.exe","20576","Console","1","14,860 K"
"PAD.AutomationServer.exe","20872","Console","1","87,880 K"
"RuntimeBroker.exe","21024","Console","1","9,332 K"
"svchost.exe","21108","Services","0","27,320 K"
"RadBuildStatus.exe","16724","Console","1","23,308 K"
"PAD.BridgeToUIAutomation2.exe","19312","Console","1","31,648 K"
"conhost.exe","18608","Console","1","5,916 K"
"RadMeter.exe","11804","Console","1","15,700 K"
"RadSwitch.exe","12396","Console","1","19,436 K"
"RadWndResizer.exe","8976","Console","1","12,776 K"
"svchost.exe","16720","Services","0","8,188 K"
"RuntimeBroker.exe","20348","Console","1","20,856 K"
"msedge.exe","23144","Console","1","16,244 K"
"ShellExperienceHost.exe","18712","Console","1","81,684 K"
"RuntimeBroker.exe","12400","Console","1","37,124 K"
"msedge.exe","3208","Console","1","27,968 K"
"svchost.exe","22384","Services","0","19,652 K"
"LMS.exe","18620","Services","0","11,984 K"
"svchost.exe","22200","Services","0","10,648 K"
"svchost.exe","11984","Services","0","9,296 K"
"svchost.exe","16344","Services","0","11,448 K"
"svchost.exe","13896","Console","1","26,976 K"
"SystemSettings.exe","3216","Console","1","3,100 K"
"ApplicationFrameHost.exe","21136","Console","1","34,056 K"
"svchost.exe","15612","Services","0","7,480 K"
"UserOOBEBroker.exe","20724","Console","1","10,028 K"
"taskhostw.exe","9728","Console","1","45,144 K"
"RuntimeBroker.exe","7792","Console","1","19,060 K"
"dllhost.exe","9220","Console","1","14,916 K"
"OpenVPNConnect.exe","10792","Console","1","88,468 K"
"OpenVPNConnect.exe","22388","Console","1","70,092 K"
"OpenVPNConnect.exe","15204","Console","1","41,824 K"
"OpenVPNConnect.exe","20596","Console","1","93,344 K"
"svchost.exe","13068","Services","0","9,396 K"
"Video.UI.exe","18632","Console","1","22,052 K"
"RuntimeBroker.exe","3904","Console","1","9,204 K"
"svchost.exe","22420","Console","1","8,620 K"
"SystemSettingsBroker.exe","15356","Console","1","15,224 K"
"svchost.exe","12644","Services","0","12,072 K"
"msedge.exe","5244","Console","1","26,356 K"
"pwahelper.exe","22964","Console","1","19,376 K"
"msedge.exe","18292","Console","1","946,484 K"
"svchost.exe","13616","Services","0","11,080 K"
"svchost.exe","23960","Services","0","8,424 K"
"rundll32.exe","24548","Console","1","10,596 K"
"msedge.exe","10320","Console","1","164,020 K"
"svchost.exe","15296","Services","0","23,144 K"
"YourPhoneAppProxy.exe","5596","Console","1","82,168 K"
"dllhost.exe","22748","Console","1","10,312 K"
"taskhostw.exe","7772","Console","1","31,920 K"
"msedge.exe","19200","Console","1","31,172 K"
"MoUsoCoreWorker.exe","10400","Services","0","60,436 K"
"svchost.exe","12520","Services","0","7,916 K"
"svchost.exe","1060","Services","0","9,280 K"
"Maps.exe","21320","Console","1","14,688 K"
"RuntimeBroker.exe","9244","Console","1","15,040 K"
"svchost.exe","9228","Services","0","6,548 K"
"steamwebhelper.exe","13060","Console","1","643,596 K"
"DbxSvc.exe","9400","Services","0","8,240 K"
"Dropbox.exe","16084","Console","1","400,580 K"
"Dropbox.exe","23116","Console","1","11,888 K"
"Dropbox.exe","13572","Console","1","13,056 K"
"Dropbox.exe","24744","Console","1","25,920 K"
"Dropbox.exe","17632","Console","1","98,864 K"
"Dropbox.exe","23096","Console","1","42,136 K"
"Dropbox.exe","21364","Console","1","42,032 K"
"msedge.exe","10344","Console","1","29,948 K"
"msedge.exe","10004","Console","1","30,180 K"
"ctfmon.exe","4948","Console","1","23,808 K"
"MediaFlyout.exe","26504","Console","1","79,808 K"
"WindowsPackageManagerServer.exe","26952","Console","1","36,492 K"
"SearchIndexer.exe","26376","Services","0","65,968 K"
"armsvc.exe","7320","Services","0","19,564 K"
"msedge.exe","16924","Console","1","234,496 K"
"nvcontainer.exe","7128","Services","0","30,384 K"
"msedge.exe","4520","Console","1","53,900 K"
"cmd.exe","26028","Console","1","8,204 K"
"conhost.exe","3256","Console","1","10,144 K"
"PAD.BrowserNativeMessageHost.exe","4564","Console","1","67,524 K"
"msedge.exe","24868","Console","1","40,556 K"
"msedge.exe","16052","Console","1","43,124 K"
"msedge.exe","13092","Console","1","26,136 K"
"msedge.exe","4932","Console","1","36,404 K"
"msedge.exe","3336","Console","1","34,552 K"
"msedge.exe","16264","Console","1","23,096 K"
"msedge.exe","18052","Console","1","21,244 K"
"msedge.exe","23336","Console","1","45,792 K"
"msedge.exe","18448","Console","1","44,796 K"
"msedge.exe","8988","Console","1","25,264 K"
"msedge.exe","12444","Console","1","43,296 K"
